log10_accretion_rate abundances-ratio HeH-ratio
-9.393581418366244051e+00 -4.895984610171089102e-01 1.221859654635047282e-01
-9.410137249218749389e+00 -4.593176575474400281e-01 6.016897868276369077e-02
-9.375610940836056173e+00 -4.496206181268584956e-01 3.259806923622023817e-02
-9.403027945633512630e+00 -6.906543718163140610e-01 1.201544087901565416e-01
-9.427504472133330538e+00 -7.465563982165539514e-01 7.308507597779081988e-02
-9.393894763659755398e+00 -1.771617217894192464e-01 9.164745206546653922e-02
-9.392271785672685169e+00 -1.213702516587673585e-01 7.872881919225784009e-02
-9.420169711473786123e+00 -5.262521911365611871e-01 9.913246923055761550e-02
-9.397749713484941481e+00 -4.317812443588051607e-01 1.065087096753930263e-01
-9.412612137088443021e+00 -7.159945902888091851e-01 1.224297818487884992e-01
-9.404699126805331488e+00 -6.533236756009515034e-01 7.004706575326365148e-02
-9.423106998959895009e+00 -9.352156893588814413e-01 1.120571934009834958e-01
-9.411936562137949380e+00 -5.970025108774521527e-01 1.277062977618347306e-01
-9.413508799872978727e+00 -7.668850601513819143e-01 1.122516329855192813e-01
-9.409881658099951807e+00 -3.457685953076703456e-01 4.170734548128078589e-02
-9.350903191895785227e+00 8.338609477018810168e-02 7.637493236175751932e-02
-9.401068798306310370e+00 -7.537370410775343643e-01 6.494387465256998282e-02
-9.389820133167543048e+00 -4.866814626179616354e-01 4.344553627396269962e-02
-9.410692249732360182e+00 -7.154648111715040670e-01 1.430889618492892645e-01
-9.404278918922393871e+00 -5.333753398703127147e-01 1.265753776218693227e-01
-9.412104934349819985e+00 -7.135172458669236661e-01 1.308173114924108260e-01
-9.388050859883000143e+00 -2.533730640783238286e-01 8.661814182790382455e-02
-9.395950503461701686e+00 -3.770357371762314003e-01 4.947396606589501977e-02
-9.404757959197677764e+00 -6.157810807577064338e-01 1.056790684696216898e-01
-9.385934234201753767e+00 -2.984635689186188046e-01 6.749657205832154672e-02
-9.373331959700957228e+00 -6.987959543724571176e-01 -2.640155448982869912e-03
-9.408173795607533307e+00 -6.252236781987994263e-01 6.992802763762070994e-02
-9.409580317941191652e+00 -8.606526169348356348e-01 7.964069410500457247e-02
-9.409800883427545060e+00 -6.839932696260184741e-01 4.405486341476400058e-02
-9.414905565809284838e+00 -6.305664834369357763e-01 7.368630378340498832e-02
-9.414237725542992763e+00 -8.029744215722054435e-01 6.083740279043933774e-02
-9.415356763779419325e+00 -6.936718020328731527e-01 1.259865925315271640e-01
-9.400068404440281356e+00 -1.180772816079667109e-02 5.463258511810532153e-02
-9.407673789876852766e+00 -5.607859588008903273e-01 1.331921094410553341e-01
-9.387985353100413377e+00 -4.044979398041848029e-01 4.636617600041635645e-02
-9.405431100076581785e+00 -6.709462743054128708e-01 7.968870422436472034e-02
-9.411745013275888638e+00 -6.163233234083920209e-01 1.116781839740382809e-01
-9.412671137772955277e+00 -7.025623806279437389e-01 1.238440333704791813e-01
-9.423960575895005576e+00 -8.339051973247180172e-01 1.245143293904651116e-01
-9.408065015029114520e+00 -4.483530190425000228e-02 7.944236631064884036e-02
-9.364742629651543027e+00 -7.150672645760094426e-01 1.366830914364078331e-01
-9.423305407644889442e+00 -5.690661686033404720e-01 2.300288401722314080e-02
-9.377133928469815416e+00 -6.238906955392931053e-01 2.796509837427633982e-02
-9.400795597136609061e+00 -6.299904646692580101e-01 1.351868825932975582e-01
-9.426209494204597306e+00 -7.897329925196849842e-01 7.405070122837273394e-02
-9.412382068689579384e+00 -4.210771523265908201e-01 1.445564461849571103e-01
-9.404879301390257851e+00 -3.155687818092323127e-01 1.345204623468320149e-01
-9.415332894267034902e+00 -5.215036244418245204e-01 8.950866023937514848e-02
-9.399920086347313131e+00 -6.933559656936623128e-01 7.388816368982863148e-02
-9.391550494677632699e+00 -4.683597582013545590e-01 2.002559669176965373e-01
-9.394671980208075368e+00 -6.221046600674640104e-01 5.481143408645181708e-02
-9.418383460355261860e+00 -7.696794018620058964e-01 1.169404780187565801e-01
-9.410843578287755307e+00 -3.759009523507064188e-01 1.669220812061666670e-01
-9.413763543566750158e+00 -5.646258880687407000e-01 8.024103232901580451e-02
-9.407631038822154679e+00 -4.115164366358197157e-01 4.371155096028353504e-02
-9.366769530462018878e+00 -3.098210994762862214e-01 4.938210031274688216e-02
-9.403523714367970854e+00 -6.934542606650841989e-01 7.535946096540656336e-02
-9.408269393779166379e+00 -6.999336507780702377e-01 1.073995471772715704e-01
-9.403396679666506941e+00 -6.569532518129488352e-01 1.097977101325279953e-01
-9.396495216810098583e+00 -5.712803408731650379e-01 1.045590063241485096e-01
-9.413574181454251288e+00 -6.843689996059092451e-01 1.643361952289320582e-01
-9.386985996601197257e+00 -1.288781559230001150e-01 8.964338712579880686e-02
-9.398792526171789063e+00 -1.933949851735432546e-01 1.160769808840780293e-01
-9.402607891904580129e+00 -8.724143560447181756e-01 1.000317310811465188e-01
-9.399163046741866978e+00 -3.003307853931049820e-01 1.015418023124388114e-01
-9.399482601377952662e+00 -6.863904901340562859e-01 4.195466697656742572e-02
-9.407892527767067747e+00 -6.595300431292008270e-01 7.694298855377806889e-02
-9.398790808617569326e+00 -8.371675841033843213e-01 6.083161916686814080e-02
-9.401909749143859685e+00 -6.780735630884846543e-01 5.086944919408691729e-02
-9.413204686166011470e+00 -7.273823785873769765e-01 6.821740945642423837e-02
-9.416298665479274632e+00 -8.691105947405901588e-01 6.706344974081841770e-02
-9.409698843442646066e+00 -6.075909707824855843e-01 6.430979132707462242e-02
-9.397432122450016578e+00 -2.192874614801336719e-01 3.887064432099148620e-02
-9.410838985348195962e+00 -5.667963842200451907e-01 1.477430481279754237e-01
-9.389919563683617909e+00 -3.231619843393289671e-01 9.087246030265397345e-02
-9.409994773202114970e+00 -7.036609837224938602e-01 1.431057466877110051e-01
-9.413960573958032541e+00 -6.282200911916087094e-01 1.124599713155075564e-01
-9.421743695945551167e+00 -7.852561532347843709e-01 1.242691251232549976e-01
-9.410927003885422693e+00 -6.815021748825591530e-01 8.247044695959160343e-02
-9.417219042100450466e+00 -1.407713696509507173e-01 1.002760560159257908e-01
-9.393558761229146015e+00 -4.464664827723012763e-01 1.509957369155983109e-01
-9.414883469516452053e+00 -5.086816379409411226e-01 5.970619066582255607e-02
-9.378534757218316642e+00 -5.047286502396426400e-01 -7.821319964989095763e-04
-9.403246340568347961e+00 -7.502131781814638245e-01 1.179871620055515519e-01
-9.410574522737711334e+00 -7.012008247998711141e-01 2.902306830622544687e-02
-9.407660825295337759e+00 -2.992294668839639016e-01 1.530291089665574145e-01
-9.405304172385354988e+00 -4.490944751584029504e-01 1.224995464577932625e-01
-9.402854521469429017e+00 -4.845276974175662943e-01 1.115299654379927202e-01
-9.393780409184609326e+00 -6.084500318864218826e-01 2.370603354179960653e-02
-9.380890162845547664e+00 -3.085653255540465878e-01 1.890380143351434172e-01
-9.409039802105249706e+00 -3.658847197956358599e-01 6.446994691347507356e-02
-9.416302866027777441e+00 -6.353083128890304465e-01 1.143168031060011192e-01
-9.412132165108475945e+00 -3.554191181342725159e-01 1.241977746183997866e-01
-9.410614835553035462e+00 -5.353021672898581329e-01 6.981241821046600682e-02
-9.407717148273315289e+00 -3.891692948787159878e-01 3.253160422570958166e-02
-9.360557304765928066e+00 -5.457345895320209195e-02 3.680684343942185188e-02
-9.397123563556590398e+00 -6.335317207624084901e-01 -3.750055967839815985e-02
-9.399942422333431580e+00 -4.877774952948419340e-01 1.267365173455779481e-01
-9.395783646587116067e+00 -6.657771534515415368e-01 7.910455205391679623e-02
-9.390650234981890776e+00 -4.605039825964283295e-01 6.316497732099053686e-02
-9.411676288732106599e+00 -5.860610084141937293e-01 1.613216255030848756e-01
-9.389405129517577109e+00 -2.106575976946158946e-01 -6.218974537984423012e-03
-9.405516305943679711e+00 -3.392637117006467307e-01 8.207524572334057300e-02
-9.382303641856724497e+00 -5.552271497883971563e-01 8.298011103316851877e-02
-9.400366230908545617e+00 -2.676924046755138065e-01 1.066325872317154116e-01
-9.401012261134988890e+00 -6.255868501368073709e-01 7.284940838766990057e-03
-9.402054142745909004e+00 -6.121297392559998940e-01 7.341440560137844906e-02
-9.408431922570718697e+00 -8.784124251233560443e-01 1.368285806205494781e-01
-9.396260154982092772e+00 -6.324600793092933770e-01 2.190717237687258429e-02
