log10_accretion_rate abundances-ratio HeH-ratio
-9.656520404071804009e+00 -6.166708368015410002e-01 -1.692674509679314432e-01
-9.618091320450298909e+00 -6.565192206778300843e-01 -1.924228420650960780e-01
-9.662977131683433640e+00 -4.877662282325618825e-01 1.332362237282782025e-01
-9.666804998884112266e+00 -4.591617460503538695e-01 4.299327948326921167e-02
-9.667574406992800462e+00 -4.329528315630835067e-01 -1.234722787544098171e-01
-9.628864115735728646e+00 -4.385049026527729765e-01 1.876877534570617345e-01
-9.652520154224321303e+00 -3.559655762044870997e-01 -9.373611197218084667e-02
-9.649631870750672746e+00 -6.262657275092182729e-01 5.241676055117259342e-02
-9.652865618124375047e+00 -5.914051555025703344e-01 -3.244561526845135546e-02
-9.591718251378361870e+00 -4.739619759727338177e-01 -1.342257554937265757e-02
-9.626521316420038943e+00 -3.198788198046553788e-01 4.768529925347689269e-02
-9.644031793816497000e+00 -6.081011017858051204e-01 1.256441726464405662e-01
-9.666097447419154776e+00 -4.929059932387080956e-01 5.002601989987819769e-03
-9.642123824875774574e+00 -6.194667023981743625e-01 9.579937127939777697e-02
-9.632906523644585661e+00 -8.946224312117379007e-01 1.752759531684584815e-03
-9.616188963936139089e+00 -5.086873988693056958e-01 3.215942756418479348e-02
-9.573712618415264330e+00 -6.417132488483847652e-01 -1.839472456655466548e+00
-9.662049231438757602e+00 -5.430942343827620533e-01 -3.031796441357580973e-01
-9.637002213801565631e+00 -6.923537865105666711e-01 1.095839164056413018e-01
-9.635558228437771433e+00 -4.567323098427884531e-01 1.759056221469238734e-01
-9.647093446084740620e+00 -5.999325926125602670e-01 -6.755665912529523753e-02
-9.633944798900232698e+00 -4.812636090682724799e-01 -5.942936832459596447e-02
-9.645458197243776510e+00 -4.578635230912340148e-01 -6.645588043231670516e-02
-9.589299099441838337e+00 -5.861965650936160621e-01 2.393810022579094532e-02
-9.693076338556750216e+00 -5.416937811042883411e-01 -1.283808951268900489e-01
-9.650055810225502739e+00 -6.394095283318046441e-01 -1.557904756680394132e-01
-9.656963165390484605e+00 -5.223047147365527110e-01 1.476521518259471810e-01
-9.635083024537724583e+00 -9.137362681808753884e-01 1.416283021373681561e-01
-9.694851890953733786e+00 -4.385233387019855655e-01 -3.730119677172994974e-01
-9.656048844944159271e+00 -8.797568418719343697e-01 -1.106371452030612268e-01
-9.609485228787326250e+00 -5.454618277202776255e-01 -3.536240275309658898e-01
-9.612871358256439791e+00 -5.860749740289099563e-01 1.015257684079686751e-01
-9.654569300359790773e+00 -7.090462142533984213e-01 -9.429325406699287648e-03
-9.575763476726745438e+00 -6.548452413330299038e-01 -2.191731668731970173e-01
-9.645263421859610276e+00 -5.468985833304635946e-01 -1.038223046715147646e-02
-9.661648963302512882e+00 -3.870169633144486809e-01 1.578251736032742769e-01
-9.646267570525237645e+00 -4.060046993521391201e-01 -1.683221325759549636e-01
-9.627970489308031787e+00 -4.154277880624457353e-01 1.007661508366719527e-01
-9.624658334945744187e+00 -5.507428359285020392e-01 1.605125150641982246e-01
-9.589355934605849896e+00 -5.290828569599641540e-01 4.447587995908250380e-02
-9.657070208545178502e+00 -7.716358519084911549e-01 1.693274694655416135e-01
-9.646502126888968576e+00 -4.852908774235542566e-01 -8.428572314972129775e-02
-9.656940141317562620e+00 -5.971593305281324149e-01 -1.569957689178432814e-01
-9.678524422265120108e+00 -4.195560203009938149e-01 1.769930800561985429e-01
-9.646718722379727495e+00 -5.187478144505641708e-01 1.640597117611717892e-01
-9.656458014770430864e+00 -4.934653767996319829e-01 4.746315310267992110e-02
-9.663030481091423596e+00 -7.708516456252301197e-01 9.835313864150906082e-02
-9.657216951723865961e+00 -6.836854823908251610e-01 -1.253050530651803052e-01
-9.608573654966793498e+00 -4.695207937571801438e-01 1.623312527107492464e-01
-9.677314633743108629e+00 -4.240692548702513776e-01 3.318142441213666610e-02
-9.685517245736271263e+00 -6.780332646066273838e-01 -1.758938753026484114e-01
-9.626844690748521671e+00 -5.165711350289265980e-01 4.702726589784370081e-02
-9.642070623951113362e+00 -6.017593497132445179e-01 -2.315391119246608745e-02
-9.650269850291826046e+00 -6.677892761423929180e-01 3.182467054856374239e-02
-9.638360606154144250e+00 -4.487231661417805384e-01 -2.378040630361409336e-01
-9.722220144842259160e+00 -7.354286831285428150e-01 1.095337276141123417e-01
-9.643702000895128634e+00 -5.454239678516010770e-01 -4.805998314852232001e-02
-9.632678824452511890e+00 -5.456712367503264716e-01 4.291291305775080632e-03
-9.674782606233200966e+00 -6.791058547820569835e-01 7.402425073374079012e-02
