"mass","porb","label","numSimulation","Teff","logCN","star_mass","lg_mstar_dot_1","period_hours","period_days","teffError2","cnError2","massError2","mdotError2","totalError2"
1,2.5,"mass=1.000,Porb=2.500",1,4989.55919964154,0.597148989252957,0.711797835309491,-8.11168317092873,7.13351186,0.297229660833333,1.13897986120119,1.02767129941225,2.16960873880787,2.31301667310112,1.66231914313061
1,2.6,"mass=1.000,Porb=2.600",1,4665.3760110295,0.59696004741101,0.594928044857662,-8.33223771792173,7.13351186,0.297229660833333,0.659499070488201,1.0274997549593,1.49388719612717,1.98359389501258,1.29111997914681
1,2.7,"mass=1.000,Porb=2.700",1,4281.07177545157,0.559153258025189,0.442641333208767,-8.69941514099733,7.13351186,0.297229660833333,0.507920064558977,0.993174139541057,0.621373398547936,1.43517352277335,0.88941028135533
1,2.8,"mass=1.000,Porb=2.800",1,4156.72155219087,-0.481267577119099,0.303704287074891,-9.14468407325515,7.13351186,0.297229660833333,0.610008679710061,0.108687489857177,0.329102999503356,0.770114784875073,0.454478488486417
1,2.9,"mass=1.000,Porb=2.900",1,4541.29835871745,-1.12387325956365,0.214234364812743,-9.53900869911983,7.13351186,0.297229660833333,0.532923792340274,0.534885509881888,0.696508091488618,0.181181822528958,0.486374804059934
1.1,2.5,"mass=1.100,Porb=2.500",1,4960.6917615698,0.597040043997707,0.695255676257504,-8.13977686009497,7.13351186,0.297229660833333,1.09400272956368,1.02757238561941,2.07565762341332,2.27105561966524,1.61707208956541
1.1,2.6,"mass=1.100,Porb=2.600",1,4629.05071928307,0.592764118542681,0.575687058698451,-8.38388319307604,7.13351186,0.297229660833333,0.633364909367784,1.02369017887531,1.38933050678357,1.90645562634848,1.23821030534379
1.1,2.7,"mass=1.100,Porb=2.700",1,4265.07550585688,0.174226975720107,0.42664890949385,-8.76176872627121,7.13351186,0.297229660833333,0.516027076400321,0.643691103678376,0.532328377556036,1.34204149913225,0.758522014191746
1.1,2.8,"mass=1.100,Porb=2.800",1,4163.46498379244,-0.938721615188326,0.291664466124024,-9.19242315442267,7.13351186,0.297229660833333,0.58540255473766,0.36693368950851,0.355426537386301,0.698811150667531,0.501643483075001
1.1,2.9,"mass=1.100,Porb=2.900",1,4552.12566312841,-1.39195799625007,0.209750730974061,-9.53338833014624,7.13351186,0.297229660833333,0.539319531024804,0.778282671271144,0.726078796893987,0.189557330113336,0.558309582325818
1.2,2.5,"mass=1.200,Porb=2.500",1,4965.83947722764,0.596250927648085,0.703501006474941,-8.13066422526317,7.13351186,0.297229660833333,1.1023885550333,1.02685592953368,2.11519997156195,2.28466635461913,1.63227770268702
1.2,2.6,"mass=1.200,Porb=2.600",1,4668.61486601232,0.580170135096213,0.59564434916807,-8.32715521692175,7.13351186,0.297229660833333,0.660491947902593,1.01225582437471,1.4955249271528,1.99118517627102,1.28986446892528
