"mass","porb","label","numSimulation","Teff","logCN","star_mass","lg_mstar_dot_1","period_hours","period_days","teffError","cnError","massError","mdotError","totalError","teffError2","cnError2","massError2","mdotError2","totalError2","teffError3","cnError3","massError3","mdotError3"
1,2.5,"mass=1.000;Porb=2.500",1,4989.55919964154,0.597148989252957,0.711797835309491,-8.11168317092873,7.13351186,0.297229660833333,0.0664110776290611,0.999899854503463,0.366493543645859,0.0871334167459869,0.379984473131092,1.17586366598115,1.00381838150876,2.13462503466309,2.34399141798966,1.66457462503567,0.14538720168074,2.23476085141134,1.20890027810844,0.160293469068689
1,2.6,"mass=1.000;Porb=2.600",1,4665.3760110295,0.59696004741101,0.594928044857662,-8.33223771792173,7.13351186,0.297229660833333,0.0390754954780605,0.999899827315479,0.284528183557251,0.073807197001569,0.34932767583809,0.665205275024344,1.00365081871391,1.46491885096122,2.01015717731617,1.28598303050391,0.0829137994017179,2.23436994218858,0.835651600168036,0.137462067788083
1,2.7,"mass=1.000;Porb=2.700",1,4281.07177545157,0.559153258025189,0.442641333208767,-8.69941514099733,7.13351186,0.297229660833333,0.0319162984128241,0.999894072996696,0.146162022127141,0.0523320176167151,0.307576102788344,0.536798757393066,0.970121923109704,0.610069441718638,1.45439263790368,0.892845690031271,0.0628603585614051,2.15614998570977,0.369562871934203,0.0994525358980684
1,2.8,"mass=1.000;Porb=2.800",1,4156.72155219087,-0.481267577119099,0.303704287074891,-9.14468407325515,7.13351186,0.297229660833333,0.0365093530006904,0.117127525791416,0.0862438397944888,0.0274146260775693,0.0668238361660411,0.609640973402958,0.106164782670372,0.321816891735685,0.78042777106052,0.454512604717384,0.0703107277999923,0.255890857470863,0.162683762753454,0.0533591145255843
1,2.9,"mass=1.000;Porb=2.900",1,4541.29835871745,-1.12387325956365,0.214234364812743,-9.53900869911983,7.13351186,0.297229660833333,0.0337710059658309,0.365247390106691,0.210678114803241,0.00631429851450723,0.154002702347567,0.569190828450121,0.522470470012354,0.682391628185616,0.183608117504061,0.489415261038038,0.0704396075349164,1.32593268898781,0.339221724719168,0.0125417984237482
1.1,2.5,"mass=1.100;Porb=2.500",1,4960.6917615698,0.597040043997707,0.695255676257504,-8.13977686009497,7.13351186,0.297229660833333,0.0638397743416233,0.999899838828473,0.353666430629437,0.085417602383978,0.375705911545878,1.12530794679253,1.00372176356925,2.02985646840339,2.30146844343124,1.6150886555491,0.139544646631236,2.23453545027936,1.14390235739553,0.157385262008114
1.1,2.6,"mass=1.100;Porb=2.600",1,4629.05071928307,0.592764118542681,0.575687058698451,-8.38388319307604,7.13351186,0.297229660833333,0.0372783008330107,0.999899219710747,0.269662642361109,0.0707337773756659,0.344393485070133,0.632525084121479,0.999929665363563,1.35736633034291,1.93198591212385,1.23045174798795,0.0787195766299559,2.22568881959656,0.776677941335767,0.132115823134995
1.1,2.7,"mass=1.100;Porb=2.700",1,4265.07550585688,0.174226975720107,0.42664890949385,-8.76176872627121,7.13351186,0.297229660833333,0.0320966308074213,0.999744839810056,0.126970414342107,0.0487701626686496,0.301895511907059,0.539926251327692,0.628750615352948,0.516204904502586,1.36001343748829,0.761223802167879,0.0629482903551816,1.35976083078336,0.315613867492433,0.0929978073690856
1.1,2.8,"mass=1.100;Porb=2.800",1,4163.46498379244,-0.938721615188326,0.291664466124024,-9.19242315442267,7.13351186,0.297229660833333,0.0365474072107802,0.286328446631406,0.0919384122742028,0.0248129930957608,0.109906814803037,0.611018407256358,0.358416920404541,0.339401176522767,0.708169274786963,0.504251444742657,0.0704188618159053,0.943025747698752,0.168675325260906,0.0484172525972618
1.1,2.9,"mass=1.100;Porb=2.900",1,4552.12566312841,-1.39195799625007,0.209750730974061,-9.53338833014624,7.13351186,0.297229660833333,0.0336644268957929,0.452792296628812,0.221482299603056,0.00660829927958062,0.17863683060181,0.567909624974281,0.760218225300768,0.711854505446583,0.192095785633478,0.558019535338777,0.0703045521427649,1.88058097912505,0.353897464717898,0.0131222640479572
1.2,2.5,"mass=1.200;Porb=2.500",1,4965.83947722764,0.596250927648085,0.703501006474941,-8.13066422526317,7.13351186,0.297229660833333,0.0640091598496933,0.999899725144145,0.359219745242593,0.0859735602729488,0.377275547627345,1.12998474726075,1.00302193689431,2.07844919984439,2.31526144643699,1.63167933260911,0.139809612561593,2.23290281636554,1.1712377328478,0.158328585215026
1.2,2.6,"mass=1.200;Porb=2.600",1,4668.61486601232,0.580170135096213,0.59564434916807,-8.32715521692175,7.13351186,0.297229660833333,0.0397338128408015,0.999897350914636,0.28639194862442,0.0741106102674327,0.350033430661823,0.67677760391392,0.988760709652765,1.47444420693435,2.01785011715886,1.28945815941497,0.0843215497379776,2.19963263093096,0.843011957448166,0.13798819894893
1.2,2.7,"mass=1.200;Porb=2.700",1,4080.85065699557,-0.889493671868486,0.341879699000934,-8.99721752275735,7.13351186,0.297229660833333,0.0425786893729507,0.262024314939946,0.0803382338304022,0.0355351817687435,0.105119104978011,0.707188599074941,0.315009505560399,0.300158881805853,1.00363506640473,0.581498013211481,0.0809801761638307,0.841470971431772,0.170537536813173,0.068624580759609
1.2,2.8,"mass=1.200;Porb=2.800",1,4135.98017602152,-1.40108781878647,0.243755150969862,-9.37396030022706,7.13351186,0.297229660833333,0.0383028945371787,0.455348484558172,0.151085424810907,0.0150389462180357,0.164943937531073,0.640137645393765,0.768314994999569,0.523174667511332,0.433392281748757,0.591254897413356,0.0733460434367592,1.89947002876556,0.252537022382866,0.0296248609657829
1.2,2.9,"mass=1.200;Porb=2.900",1,4634.14213849254,-1.62470296209975,0.192643439804306,-9.68483841759341,7.13351186,0.297229660833333,0.0377333593525238,0.511240640134809,0.258327647411549,0.00181964519232557,0.202280323022802,0.640734501569436,0.966627756211774,0.796265403752472,0.0532099892216758,0.61420941268884,0.0797283027884013,2.36211621116073,0.402969849452373,0.00364883981730888
1.3,2.5,"mass=1.300;Porb=2.500",1,4963.54874354361,0.590906649846934,0.705654219786068,-8.12580028435236,7.13351186,0.297229660833333,0.0655401428186866,0.999898948374054,0.36064844843774,0.0862705403825039,0.378089520003246,1.15449336348097,0.998282371980561,2.09049454972376,2.32262357087641,1.64147346401543,0.143483049865332,2.2218458294114,1.17977634138301,0.1588320914372
1.3,2.6,"mass=1.300;Porb=2.600",1,4689.60729896223,0.524875477586839,0.6119796332336,-8.29218262903851,7.13351186,0.297229660833333,0.0423531913059273,0.9998882529909,0.297233038722643,0.0762030491160641,0.353919383033884,0.721666510276496,0.939722723904167,1.56091995002283,2.07078508258835,1.32327356669796,0.0902978898488011,2.08523133491622,0.887320429213652,0.141608496959876
1.3,2.7,"mass=1.300;Porb=2.700",1,4354.08136472453,-0.186158238623269,0.491052372650438,-8.55206206078658,7.13351186,0.297229660833333,0.0297090930209009,0.464405207482188,0.193049792309236,0.0608462630853658,0.187002588974423,0.498886490814031,0.310225385638725,0.871636975718521,1.67742818314056,0.839544258827959,0.0595966036856013,0.629785083196291,0.509328148574547,0.114706255896559
1.3,2.8,"mass=1.300;Porb=2.800",1,4323.37952027956,-1.76708550507067,0.186165851893678,-9.71075451955699,7.13351186,0.297229660833333,0.0302239878940432,0.541199014047796,0.275467647793785,0.00267729016676229,0.212391984975596,0.507141476022066,1.09289950519355,0.839148627965256,0.078392533764057,0.629395535736231,0.0602441027810248,2.65669706543196,0.424671532252918,0.00537593370126597
1.3,2.9,"mass=1.300;Porb=2.900",1,4968.77184357018,-1.7615374972434,0.168988906589866,-9.86980943007907,7.13351186,0.297229660833333,0.065051132773108,0.540100833678704,0.320578545926308,0.0107318486566695,0.234115590258697,1.14817520475954,1.08797926260554,0.941740087405648,0.317131432269331,0.873756496760015,0.142237008731366,2.64521857339803,0.479311883947224,0.0217045294849631
1.4,2.5,"mass=1.400;Porb=2.500",1,4931.17096815894,0.551824487632221,0.694818287424095,-8.15738065587378,7.13351186,0.297229660833333,0.0616694128735718,0.999892880174297,0.353742001675314,0.0843452128585747,0.374912376895439,1.08279075135659,0.9636224138574,2.0289421419587,2.27482310840227,1.58754460389374,0.134466846162693,2.14098720382604,1.14422424150911,0.155562949428448
1.4,2.6,"mass=1.400;Porb=2.600",1,4662.88626479025,0.238142756666925,0.604377749039034,-8.31682458782824,7.13351186,0.297229660833333,0.0394354111308036,0.999793213718513,0.291498314100229,0.0747278531021289,0.351363698012919,0.670959557212764,0.685434231752039,1.51751472532973,2.03348669217457,1.22684880161728,0.0836715505042025,1.49199870882556,0.864065002009575,0.139057606682893
1.4,2.7,"mass=1.400;Porb=2.700",1,4330.30154546485,-0.637878062225551,0.491556840927077,-8.58505289488808,7.13351186,0.297229660833333,0.030261254230819,0.131100689514902,0.196456224900753,0.0589280628961032,0.104186557885644,0.508512230229593,0.124538491995212,0.885819092127792,1.62749282609798,0.786590660112644,0.06032930109105,0.369115619483772,0.520270961621965,0.111291105394233
1.4,2.8,"mass=1.400;Porb=2.800",1,4197.86375516177,-2.03934784934726,0.227807646078507,-9.42841425641837,7.13351186,0.297229660833333,0.0346964894717249,0.589307449086273,0.181521055396249,0.0121433650716005,0.204417089756462,0.580620406702855,1.33435496508588,0.607136395608765,0.350970063006781,0.71827045760107,0.0673358719974451,3.21999135902573,0.297321179735727,0.0239878875183034
1.4,2.9,"mass=1.400;Porb=2.900",1,5671.58742540536,-1.98448792599891,0.15667431706836,-10.1754561560304,7.13351186,0.297229660833333,0.130212344034069,0.580445258384012,0.351092054890851,0.0259753654517391,0.271931255690168,2.49292955131171,1.28570252268908,0.998783931496649,0.779762305508783,1.38929457775156,0.303558501266238,3.10648950164906,0.514271569244082,0.0533445167146072
1.5,2.5,"mass=1.500;Porb=2.500",1,4800.04251774704,0.154434039825182,0.649552572997653,-8.22780742249656,7.13351186,0.297229660833333,0.0501342771908008,0.999724911813243,0.323187285758771,0.0800760623856872,0.363280634287125,0.8661271879176,0.61119727924315,1.76992249081417,2.16822423533822,1.35386779832828,0.107976892300705,1.31881044569539,0.999252828892058,0.148272500006377
1.5,2.6,"mass=1.500;Porb=2.600",1,4518.83633049995,-0.58060356933346,0.555843485712919,-8.4071226582174,7.13351186,0.297229660833333,0.0324119155067105,0.11347654983203,0.254820393880827,0.0693565301103155,0.117516347332471,0.546038605669837,0.104214720284637,1.25096801942407,1.89681035439948,0.949507924944506,0.0672712107019332,0.300513517616843,0.720392624617285,0.129710116422424
1.5,2.7,"mass=1.500;Porb=2.700",1,4214.95746052906,-1.24884509973733,0.442808019493093,-8.70987657138804,7.13351186,0.297229660833333,0.0333514835078744,0.409319146600049,0.14583615916259,0.0517327360177073,0.160059881322055,0.559448031554591,0.633298763353793,0.609011713742523,1.43855808033751,0.810079147247104,0.0648210941779807,1.58448906762882,0.368767310156661,0.0983695878542588
1.5,2.8,"mass=1.500;Porb=2.800",1,4041.50146904117,-1.63274943978184,0.331573715317795,-9.04295594134127,7.13351186,0.297229660833333,0.0451731265028669,0.513037996531675,0.0784927707140386,0.0330028002412391,0.167426673497455,0.747327594482268,0.973763763118657,0.293579075890989,0.934404799127338,0.737268808154813,0.0854437074577172,2.37876388593886,0.161147851030026,0.0638898237443162
1.5,2.9,"mass=1.500;Porb=2.900",1,7250.55030318602,-2.47095930669168,0.171933830303415,-11.5522778020657,7.13351186,0.297229660833333,0.247325594427805,0.647810082770192,0.309799014053363,0.089195323992449,0.323532503810952,5.5120536071646,1.71712895171557,0.911316276190271,2.86373751714486,2.75105908805383,0.663075346176569,4.11296931239563,0.466783365292284,0.195870562634012
1.6,2.5,"mass=1.600;Porb=2.500",1,4551.08487508723,-0.917858763153084,0.564239567739174,-8.41651596478383,7.13351186,0.297229660833333,0.0331078055610105,0.276213605360028,0.262000580432808,0.0688008567542134,0.160030712027015,0.558716719273151,0.339994588794481,1.29928456875303,1.88259252299328,1.02014709995348,0.069082433542395,0.899954154655088,0.747363409289078,0.128737738593474
